score,distance_km,osm_name,grid3_name,decision_id
0.6545,0.05,Dawaki General Hospital,Dawakin Tofa General Hospital,xwd:sha256:f9b0769638636cd0545d36ce5bf12ae93b9e4e53001ad44760f9c5f1f2eb4c3b
0.6543,0.00,Jigawa Satame Health Post,Jigawar Satam Health Post,xwd:sha256:5d567ae02d7e6054eceb7dce29c4d3b141ebf0ccfc905155b41384c07dd3026e
0.6531,0.00,Mesatud Health Post,Mesar Tudu Health Post,xwd:sha256:f06eca898aaa3eda70a11e97d02f99a99a5e5424dff7cde49ee73fa2cf68a4d8
0.6520,0.00,Yangwarzo Health Post,Yan Gwarzo Health Post,xwd:sha256:8a4889481c183b83b250cd1a36eef8445243e5b71035f7b66de3923bd84ace69
0.6516,0.01,Dalal Mahuta Health Post,Dallal Mahuta Health Clinic,xwd:sha256:6f49e76330da7fd62dd3801ec2d937a499182b5bb77371ca784e5eb722f7cd4e
0.6513,0.01,Yako Primary Health Centre,Yako Basic Health Clinic,xwd:sha256:35d94f250f06783525e8446cdaf2064630d07d8c41f85115df690ed6dcc9f653
0.6513,0.03,Mesaburmi Health Post,Mesar Burmi Health Post,xwd:sha256:924303c9f8a8b6ab4c3254d9b159ae9c953be7a7cdd5679fe8219ade20453d64
0.6506,0.02,Yako Primary Health Centre,Yako Basic Health Clinic,xwd:sha256:761484547d57d439f46b1b09cc463b08f64975436dbc505367e23bb903ef7fd9
0.6505,0.10,Malikawa Garu Health Post,Malikawar Garu Primary Health Center,xwd:sha256:9de94a2236a9bc3a826bb0d45baf488003c36de053793550b77095a649e56e0b
0.6503,2.91,Shuwaki Primary Health Centre,Shuwaki Model Primary Health Center,xwd:sha256:a35f7dcefd9ba236e2c7040ea238a2199743b5eaae9141e4be5c90ed0811d1b7
0.6500,0.25,Bichi General Hospital,Bichi Excellence Service Hospital Maternity,xwd:sha256:a64d3b1a2c2379bfc509f453bc024da1e9854282de3b9e92f93981c20a881041
0.6494,0.00,Rimaye Health Post,Rimayen Rake Health Post,xwd:sha256:566bf9f040aabfc0c3a1a857887f7e9a6f18e9bb14ee43140f694f57f935beb2
0.6489,0.07,Yankifi Health Post,Yan Kifi Health Post,xwd:sha256:e2d0b558c96cc8c0db23e87b5fc2a75ce56e279c96f21ea7937f0e62e902eafc
0.6487,0.00,Yankamaye Health Post,Yan Kamaye Health Post,xwd:sha256:f9c3a257e035bf33179daa2ce5a9462e5e8cbca56155364ad98496b6fe67597c
0.6485,0.01,Karmami Primary Health Centre,Karmami Maternity and  Child Health Clinic,xwd:sha256:2ca55031eda400c43a80c6b17bf96c1d74dfaa4d34911ec77197ca5da4081165
0.6479,0.04,Danhassan Primary Health Centre,Dan Hassan Primary Health Center,xwd:sha256:f5ce3b3857b7141aba4f39d06758020a616ad1110ec89635065486afd1aa78f4
