id,name,amenity,healthcare,lga,lat,lon
way/292047869,Dankunkuru Health Post,hospital,hospital,Ungongo,12.0646774,8.5709276
way/292049015,Yakasai Health Post,hospital,hospital,Dawakin Tofa,12.156498,8.4827418
way/292049016,Tarda Health Post,hospital,hospital,Ungongo,12.1149996,8.5191037
way/292050057,Kaura Goje Primary Health Centre,hospital,hospital,Nassarawa,12.0438047,8.5460695
way/292050058,Fanisau Primary Health Centre,hospital,hospital,Ungongo,12.0787934,8.5352811
way/292050059,Dausara Primary Health Centre,hospital,hospital,Ungongo,12.0728132,8.5812877
way/292050060,Rijiyar Lemo Primary Health Centre,hospital,hospital,Fagge,12.0473584,8.4810419
way/292050061,Zangon Barebari Health Post,hospital,hospital,Ungongo,12.0701844,8.486307
way/292050062,Jaba Primary Health Centre,hospital,hospital,Fagge,12.05927,8.546297
way/292051043,Zabainawar Dansudu Health Post,hospital,hospital,Minjibir,12.1595784,8.5104394
way/292051044,Dan Itache Health Post,hospital,hospital,Dawakin Tofa,12.2080298,8.4971275
way/292051046,Doka Health Post,hospital,hospital,Ungongo,12.0959152,8.4689309
way/292051047,Kantama Babba Health Post,hospital,hospital,Minjibir,12.1817523,8.594299
way/292051048,Gera Health Post,hospital,hospital,Ungongo,12.0887755,8.5522211
way/292051049,Madaci Health Post,hospital,hospital,Dawakin Tofa,12.1961331,8.4739236
way/292051050,Kadawa Primary Health Centre,hospital,hospital,Ungongo,12.0756414,8.4565632
way/292051051,Kwachiri Primary Health Centre,hospital,hospital,Fagge,12.0657672,8.5009239
way/292065939,Dawanau Primary Health Centre,hospital,hospital,Dawakin Tofa,12.0947249,8.437328
way/292065941,Tattarawa Primary Health Centre,hospital,hospital,Dawakin Tofa,12.1769551,8.3815914
way/292065942,Gulbi Health Post,hospital,hospital,Bichi,12.1816867,8.2887627
way/292065943,Gajida Health Post,hospital,hospital,Tofa,12.0810807,8.2823182
way/292065945,Romi Health Post,hospital,hospital,Dawakin Tofa,12.1257031,8.368094
way/292065946,Kaleku Health Post,hospital,hospital,Dawakin Tofa,12.1376631,8.3260782
way/292065947,Chedi Bubba Ruga Health Post,hospital,hospital,Dawakin Tofa,12.1392562,8.393025
way/292065948,Yarrutu Health Post,hospital,hospital,Dawakin Tofa,12.1171436,8.2958532
way/292065949,GSS Gramma Health Post,hospital,hospital,Dawakin Tofa,12.1024398,8.3339945
way/292065950,Danguguwa Health Post,hospital,hospital,Dawakin Tofa,12.0583397,8.394695
way/292065951,Dungurawa Health Post,hospital,hospital,Dawakin Tofa,12.1629816,8.3576865
way/292065953,Chedi Maidala Health Post,hospital,hospital,Dawakin Tofa,12.1353479,8.4221651
way/292065954,Tsaure Health Post,hospital,hospital,Bichi,12.2066479,8.3196914
way/292065955,Dogon Marke Health Post,hospital,hospital,Dawakin Tofa,12.154329,8.3203132
way/292065956,Marke Health Post,hospital,hospital,Dawakin Tofa,12.1287705,8.2715004
way/292065957,Dindere Health Post,hospital,hospital,Tofa,12.0906689,8.2645812
way/292065958,Sarkakiya Health Post,hospital,hospital,Dawakin Tofa,12.1274747,8.3376822
way/292065959,Gudau Health Post,hospital,hospital,Dawakin Tofa,12.1799075,8.3569997
way/292065960,Badume Health Post,hospital,hospital,Bichi,12.1894002,8.3132718
way/292065961,Yakasai Health Post,hospital,hospital,Bichi,12.2019309,8.2918651
way/292065962,Gabari Health Post,hospital,hospital,Dawakin Tofa,12.0465994,8.3947839
way/292065963,SSS Dawakin Tofa Health Post,hospital,hospital,Dawakin Tofa,12.1183909,8.3389649
way/292065964,Kwa Health Post,hospital,hospital,Dawakin Tofa,12.1487962,8.3736502
way/292065965,Kunnawa Health Post,hospital,hospital,Dawakin Tofa,12.174693,8.333185
way/292065966,Sanakur Health Post,hospital,hospital,Bichi,12.165574,8.2649042
way/292065967,Kyauta Health Post,hospital,hospital,Bichi,12.1939296,8.339403
way/292065968,Bagadawa Health Post,hospital,hospital,Dawakin Tofa,12.1206462,8.4025432
way/292065969,Fagen Kawo Health Post,hospital,hospital,Dawakin Tofa,12.0809345,8.4165873
way/292065970,Yalwa Karama Health Post,hospital,hospital,Tofa,12.0579117,8.3347273
way/292065971,Gwamai Health Post,hospital,hospital,Dawakin Tofa,12.1852031,8.3193513
way/292065972,Gargari Health Post,hospital,hospital,Dawakin Tofa,12.1783432,8.3017751
way/292065973,Kadawa Health Post,hospital,hospital,Dawakin Tofa,12.0723638,8.3726068
way/292065974,Dawaki General Hospital,hospital,hospital,Dawakin Tofa,12.108108,8.3314558
way/292065975,Yanoko Primary Health Centre,hospital,hospital,Tofa,12.0550992,8.2977111
way/292065976,Bugai Primary Health Centre,hospital,hospital,Tofa,12.0424377,8.3165132
way/292065978,Buruntumau Health Post,hospital,hospital,Dawakin Tofa,12.1834711,8.421089
way/292167735,Tudun Wada Health Post,hospital,hospital,Nassarawa,12.0230149,8.5537383
way/292168265,Mallam Shuaibu Primary Health Centre,hospital,hospital,Nassarawa,12.0215196,8.5568981
way/293020842,Sheikh Muhammed Jidda General Hospital,hospital,hospital,Fagge,12.0102724,8.5344216
way/295383220,Lamco Pharmacy,pharmacy,pharmacy,,11.9671011,8.5485351
way/299040773,Unguwar Uku Primary Health Centre,hospital,hospital,Tarauni,11.9578049,8.5602537
way/299968723,Hotoro Danmarke Health Post,hospital,hospital,Tarauni,11.9619839,8.5808519
way/301909213,Ruwan Kanki Dispensary,hospital,hospital,Ningi,11.2793731,9.4663965
way/301909242,Kawawa Dispensary,hospital,hospital,Ningi,11.0182778,8.8909864
way/301941450,Ganji Dispensary,hospital,hospital,Ningi,11.1596612,9.1534217
way/303738320,Matawai Maternity,hospital,hospital,Toro,10.5069647,8.7756125
way/303738401,Kajala Dispensary,hospital,hospital,Ningi,10.8986789,9.104177
way/305126184,Mara Dispensary,hospital,hospital,Toro,10.3042037,9.2836649
way/305126205,Saminakan Gwa Maternity,hospital,hospital,Toro,10.3007217,9.1965977
way/377468732,Proposed Paediatric Hospital,hospital,,Kano,11.9699465,8.5329545
way/377484015,An Nur Specialist Hospital,hospital,,Kano,11.9780012,8.5424949
way/377493645,Dangi Pharmacy,pharmacy,,Gyadi Gyadi Arewa,11.9784324,8.5398033
way/666644399,Rasheed Shekoni Hospital,hospital,,,11.6790323,9.3360635
way/791267674,Gulu Primary Health Centre,hospital,hospital,Rimin Gado,11.8660201,8.3008672
way/791284157,Kudurun Health Post,hospital,hospital,Madobi,11.789685,8.3783668
way/791307707,Ningawa Health Post,hospital,hospital,Madobi,11.8217966,8.4006862
way/791308803,Rikadawa Health Post,hospital,hospital,Madobi,11.7337222,8.3089199
way/791313365,Sani Mashal Primary Health Centre,hospital,hospital,Kura,11.7703328,8.4263687
way/791322782,Yakun Health Post,hospital,hospital,Madobi,11.7403079,8.2643145
way/791334185,Burji Primary Health Centre,hospital,hospital,Doguwa,11.1665461,8.5467425
way/791341738,Rufan Health Post,hospital,hospital,Tudun Wada,11.3178666,8.7181351
way/791343116,Sitti Primary Health Centre,hospital,hospital,Sumaila,11.2869932,8.7879385
way/791377515,Masu Primary Health Centre,hospital,hospital,Sumaila,11.2021335,8.8059119
way/791399305,Yaryasa Health Post,hospital,hospital,Tudun Wada,11.3367525,8.3083487
way/791399678,Balare Primary Health Centre,hospital,hospital,Ajingi,11.9915369,8.9309293
way/791751899,Lajawa Primary Health Centre,hospital,hospital,Wudil,11.8701722,8.9220502
way/791756661,Doguwa General Hospital,hospital,hospital,Doguwa,10.7356718,8.5904821
way/791760279,Tagwaye Health Post,hospital,hospital,Doguwa,10.7810502,8.5931271
way/791761831,Bono Health Post,hospital,hospital,Bunkure,11.7044252,8.6322015
way/791762843,Dawakiji Primary Health Centre,hospital,hospital,Dawakin Kudu,11.8638237,8.7033267
way/791764257,Fanchan Health Post,hospital,hospital,Dawakin Kudu,11.7796308,8.7218601
way/791782695,Danhassan Primary Health Centre,hospital,hospital,Kura,11.7944842,8.5164151
way/791783043,Dawaki General Hospital,hospital,hospital,Dawakin Kudu,11.8397257,8.6015884
way/791783565,Dukawa Primary Health Centre,hospital,hospital,Kura,11.7757557,8.5882265
way/791788392,Gundutse Health Post,hospital,hospital,Kura,11.8244468,8.5136262
way/791788784,Gurjiya Primary Health Centre,hospital,hospital,Bunkure,11.7500774,8.5553088
way/791789897,Karfi Primary Health Centre,hospital,hospital,Kura,11.8253379,8.497375
way/791828420,Amarawa Health Post,hospital,hospital,Gaya,11.817766,8.9008779
way/791828739,Fadi Sonka Health Post,hospital,hospital,Wudil,11.7847628,8.8759436
way/792054644,Tsaraka Health Post,hospital,hospital,Bichi,12.2146697,8.1818932
way/792071898,Tudun Gunsau Health Post,hospital,hospital,Wudil,11.7602519,8.8517814
way/792072374,Utai Primary Health Centre,hospital,hospital,Wudil,11.7439552,8.8819522
way/792073263,Wudil General Hospital,hospital,hospital,Wudil,11.7987312,8.8459
way/792081423,Gama Health Post,hospital,hospital,Nassarawa,12.0338252,8.5523586
